text,sentiment
"Bitcoin Dropping to $6K ‘Golden Pocket’ Isn’t Bearish, Says Trader",Fear
Bitcoin Tests $9K as Market Struggles With Uncertainty,Fear
A Sea of Red Across Markets as Bitcoin Drops to $9.2K,Neutral
PayPal Bitcoin Rumor Boosts $12K BTC Price Rally Chances,Fear
Bitcoin Sees Small Gain as Gold Rallies to One-Month High,Fear
Trump Says China Controls Bitcoin—Yet His Administration Supports It,Fear
"Only 3.5 Million Bitcoin Is Traded Worldwide; Majority of BTC Held Long-Term as Digital Gold
",Fear
Bitcoin Spot Volumes Are Weak While Options and DeFi Strengthen,Fear
"Bitcoin Still Undervalued After Q2 Rally, Price Metric Shows",Fear
Bitcoin Flat at $9.4K but Investors Are Holding On,Fear
Bitcoin Rises to $9.6K as Stocks Cheer Additional US Stimulus Plans,Fear
"Bitcoin Price Drop May Be a Bear Trap, Options Market Suggests",Fear
Bitcoin Price Near ‘Monster Move’ After Weeks of Range Trading: Analyst,Fear
Bitcoin Price Drop to Key $9K Support Could Place the Uptrend in Peril,Fear
Bitcoin Is Still Up 30% in 2020 After a Bumpy Week,Fear
Bitcoin Stuck Below $10K as Stocks Drop,Neutral
Bitcoin Briefly Pops Past $10K as Fed Says Rates May Stay Near 0% Until 2022,Neutral
DeFi Is Helping Ether Outpace Bitcoin This Year,Neutral
Bitcoin Remains on Hunt for $10K as Holding Sentiment Gains Strength,Neutral
Bitcoin’s Short-Lived Spike; Russia Gets Tougher On Crypto,Neutral
Bitcoin Supply Is Limited By More Than Just The Halvings,Neutral
Bitcoin Flat as Stocks Swell on Positive Jobs Report,Neutral
"Bitcoin Closing in on $9,900 as Crypto Market Volatility Persists",Neutral
A Bitcoin Lull as Stocks Signal Economic Optimism,Neutral
Bitcoin’s Price Drops by 8% in Less Than 5 Minutes,Greed
"As Bitcoin Steadies, Oil’s Turmoil Continues",Neutral
"Crypto Funds in Demand, Institutions See Bitcoin as Alternative Hedge",Neutral
China Passes Law Protecting Cryptocurrency Inheritance,Neutral
"Bitcoin Slides, Stocks Tread Water on Trump China Comments",Neutral
"Short Seller Liquidations Help Push Bitcoin Beyond $9,500",Fear
"Bitcoin’s Bounce Back Over $9,000 Masks a Potential Downtrend",Fear
"Bitcoin Can’t Stick to $9,000 While Stocks Rally",Fear
"As Bitcoin Falls to 2-Week Lows, Small Investors Look to Be Buying",Fear
"Historical Data Shows Housing Market Will Boom After The 2020 Crisis, And Bitcoin Might Too",Fear
Bitcoin Miners Will Use Derivatives Like Traditional Commodity Producers,Fear
"Bulls fade a bit, need to step up",Fear
"Bitcoin Crashes Under $9,000 As Sudden Sell-Off Surprises Market",Neutral
"Bitcoin Rebounds to $9,500 After Scary Sell-Off",Neutral
Price targets for the next Bitcoin bull run,Neutral
Bitcoin Stuck in High $9K Range as Stocks Soar on Powell Comments,Neutral
Playing Bitcoin And Gold Rally Through Equities,Fear
Bitcoin Is Invading Decentralized Finance On The Ethereum Network,Fear
Bitcoin Dips as Stock Markets Close Lower on the Week,Fear
Bitcoin’s Price Up 12% Since the Halving,Fear
Bitcoin Is Suddenly Back On The Move,Fear
Bitcoin’s Price Is Rising Despite a Dull Halving,Fear
Bitcoin’s 8% Drop Triggers Largest Liquidation on BitMEX in 2 Months,Fear
"Bitcoin Briefly Topped $10,000; Bitcoin Exchange-Traded Product Now Live, Aye",Neutral
Coinbase Suffers Brief Outage as Bitcoin Tumbles 10% in 30 Minutes,Greed
"Interest in Bitcoin Rises as Prices Near $10K, but Can It Continue?",Greed
Bitcoin Breaches $10K for First Time Since February,Neutral
Bitcoin Breaches $9.2K as Open Positions on CME Futures Hit 10-Month High,Fear
"Bitcoin Briefly Hits $9K, Investors Remain Bullish",Fear
"Bitcoin Price May Drop After Halving, Historical Data Shows",Fear
Bitcoin continues to rise as some predict a bull run,Fear
Bitcoin Rally Above $9K Stalls as Sellers Push BTC Back to Key Support,Fear
May Opens With Equities Lower While Bitcoin Steady at $8.7K,Fear
There’s a Bright Side to Bitcoin’s Drop on Worsening Unemployment,Fear
"Bitcoin Rises Above $8.1K, Clinching an April Gain for Fifth Year Running",Fear
Bitcoin Rally Pauses Near $7.8K After Longest Winning Run in 8 Months,Fear
Ether Trounces Bitcoin as Network Sees Surge in Stablecoins,Fear
Bitcoin Hits April High; Crypto Portfolios Get Stimulus Injection,Extreme Fear
Twitter CEO Jack Dorsey Calls Bitcoin Whitepaper 'Poetry',Extreme Fear
Bitcoin Steady at $7.5K as Short Sellers Back Off,Extreme Fear
"Bitcoin Crosses $7,500 As Investors HODL Before Halving Event",Extreme Fear
Bitcoin Approaches $7K as US Passes New $480B Stimulus Package,Extreme Fear
Crude oil futures crash leaves bitcoin unscathed,Extreme Fear
Bitcoin Volatility at 3-Month Low as Market Awaits Big Price Move,Extreme Fear
New Research Says Bitcoin Price Jumps in Response to News of Clear Regulation,Extreme Fear
Bitcoin Price Hits $7.3K in Attempt to Finally Break Out,Extreme Fear
Crypto Traders Warn Big Bitcoin Price Plunge Is Around the Corner After Stagnancy ,Extreme Fear
Bitcoin Hits $7K Amid Warning $2K US Payouts Make Fiat ‘Hard to Value’,Extreme Fear
Bitcoin Price Volatility Declines in Contrast to S&P 500,Extreme Fear
Bitcoin Tests $7K as Spot Trading Volumes Subside to Normal Levels,Extreme Fear
Bitcoin Drops as Traders See Bearish Signals in Futures Markets,Extreme Fear
May’s Bitcoin Rewards Halving Will Force Weak Miners Off the Network,Extreme Fear
Bitcoin Lost $7K Support Right After 1000 BTC Huobi Deposit — Data,Extreme Fear
New York Power Plant Sells 30% of Its Bitcoin Mining Hashrate to Institutional Buyers,Extreme Fear
Bitcoin’s Bull Case Strengthens After Breaching Price Hurdle at $7.1K,Extreme Fear
Bitcoin Price Holds $7.1K Amid More Warnings a $5K Retest Is Coming,Extreme Fear
Bitcoin Tracks Stocks Up to $7.4K Before Sliding Back to $7.1K,Extreme Fear
"Bitcoin, Equities Markets Rally on Signs of Hope",Extreme Fear
Bitcoin trading volume on exchanges grew 61 percent in Q1 compared to previous quarte,Extreme Fear
"High-Profile Crypto Whale Says Bitcoin (BTC) in the Crosshairs, Predicts Massive Economic Shockwaves Ahead",Extreme Fear
Bitcoin Extends Rally as Trading Volume for CME Futures Hits Three-Week High,Extreme Fear
Bitcoin Enters Historically Strong Quarter With 3% Price Gain,Extreme Fear
"Bitcoin Takes Tumble, Traders Fret Correlation and Next Month’s Halving",Extreme Fear
"Bitcoin Ends Q1 Down 10%, Outperforming Equities in Coronavirus Crisis",Extreme Fear
Bitcoin Diverges From Falling Equities With $500 Price Rise,Extreme Fear
Congress Flirts With Digital Dollar; Crypto’s Hiring Boom,Extreme Fear
Bitcoin Price Drops to $6.1K Shortly After Equities Markets Close Red,Extreme Fear
Bitcoin and Ether Prices Stagnate as Traders Take Wait-and-See Approach,Extreme Fear
Bitcoin in Rangebound Trading as Equity Markets Fail to See Stimulus Boost,Extreme Fear
Bitcoin Mining Difficulty Posts Second-Biggest Percentage Drop in Its History,Extreme Fear
"Stocks, Bitcoin Rally on Prospects for US Senate Stimulus Bill",Extreme Fear
Bearish ‘Death Cross’ Price Patterns Loom for Both Bitcoin and US Stocks,Extreme Fear
"Bitcoin Steady Above $6,000, But Is It The Calm Before The Storm?",Extreme Fear
"As This Crisis Worsens, Bitcoin Will Become a Safe Haven Again",Extreme Fear
Bitcoin Claws Back Over 40% of Recent Price Sell-off With Surge Above $6.8K,Extreme Fear
Bitcoin Sees 9% Gain as Turmoil Hits the Forex Markets,Extreme Fear
Bitcoin Faces Another Down Day as Equities Reject Stimulus Effort,Extreme Fear
"Bitcoin Is Now Undervalued, Suggests This Price Metric",Extreme Fear
Bitcoin Volume Gains Traction After 24-Hour Roller-Coaster Ride,Extreme Fear
"Bitcoin, gold rally as Fed slashes federal funds rate",Extreme Fear
Bitcoin Price Crashing Due to Coronavirus Fear but Will BTC Hit $2K?,Extreme Fear
Bitcoin Ekes Out Gains but Remains in Red Amid Broader Market Rebound,Extreme Fear
Bitcoin Falls Below $5K as Market Pain Deepens,Extreme Fear
Bitcoin Falls Below $5K as Market Pain Deepens,Extreme Fear
Bitcoin Back Over $8K as Traditional Markets Rebound,Extreme Fear
"Bitcoin breaks below $8k, wipes out most 2020 gains amid global meltdown",Extreme Fear
Bitcoin Slides Another 10% but Don’t Break Out the $4K Charts Just Yet,Fear
"Bitcoin Just Printed a “Darth Maul” Candle at $9,000",Fear
"Bitcoin’s Price Steady Over $9,000 as Sentiment Stays Positive",Fear
"Bitcoin Stays Above $9,000 in US Trading",Fear
Bitcoin Remains Steady Amid Weaker Volume,Fear
Bitcoin Makes 4.5% Gain as Sellers Lose Steam,Fear
Bitcoin Rallies After Biggest Weekly Drop Since November,Fear
"""I don't own any cryptocurrency,"" clarified Buffett",Fear
Bitcoin Price Stabilizes as Gold Experiences Worst Drop Since 2013,Fear
Millennials ‘will invest inheritances in bitcoin’,Fear
"Bitcoin drops below $9,000 in correction from mid-month peak",Fear
If Billionaire Investor Warren Buffett Ever Buys Bitcoin You Should Probably Sell,Fear
Bitcoin Faces Further Losses if Bulls Can’t Disrupt Bearish Chart Pattern,Fear
$10K Proving a Tough Nut to Crack for Bitcoin’s Bulls,Fear
Sold! Last Week the US Marshals Auctioned Off Over 4000 Bitcoin,Fear
"Even With Blockchain-Friendly Advisors, President Submits Budget Without Support For The Tech",Fear
Bitcoin Chart Indicator Flips Bearish as Price Sees Weak Bounce From $9.4K,Fear
Bitcoin Traps Buyers With Biggest Daily Price Loss in Three Months,Fear
Bitcoin Slides Back Below $10K Amid Quick Bearish Sell-Off,Neutral
Golden Cross Gives Little Relief as Bitcoin Risks Fall Below 2020 Bullish Trendline,Neutral
Low-Volume Bitcoin Pullback Stalls at Price Support Near $9.6K,Neutral
Blow To Bitcoin As ‘Significant’ U.S. Crypto Crackdown Suddenly Revealed,Greed
Bitcoin Price Stabilizing Above $10K With $11.6K Futures Gap in Sight,Greed
Bitcoin Closing on Daily Golden Cross That Could Bring Boost to 2020 Price Rally,Greed
"Bitcoin Price Suddenly Drops $300 in 1 Hour After $10,500 Rejection",Greed
Bitcoin Most ‘Overbought’ in 2 Years After Price Rises Back Above $10K,Greed
"Bitcoin Price Rebounds Strongly With $11,000 in Sight",Neutral
Bitcoin Takes a Dive After the Longest Daily Winning Run Since September,Greed
"Bitcoin Breaks Above $10,000 in Spot Market",Greed
Coinbase Says Bitcoin Will Become Closer to Digital Gold in 93 Days,Greed
Bitcoin Has Erased Over 45% of 2019 Sell-Off in Just 7 Weeks,Greed
"Bitcoin’s Uptrend Is Gaining Steam and Many Altcoins Are Surging, Too",Greed
"Bitcoin Rises Above $9,700 to Reach Highest Point in 3 Months",Neutral
Bitcoin SV Sees Minor Split as Blockchain Shifts to ‘Genesis’ Upgrade,Greed
Bitcoin Price Spikes to 3-Month High as Bull Cross Approaches,Greed
Strong performance by specialist crypto funds has whetted traders’ appetites,Greed
Bitcoin sees its best January in 7 years as Halvening nears,Greed
Bitcoin Heads Into Historically Positive February on a Bullish Note,Greed
"Bitcoin Reinforces Latest Rally With Defense of $9,200 Price Support",Greed
Bitcoin Eyes Best January Close in 7 Years After 30% Price Increase,Greed
"Bitcoin Rallies to Near $9,150 as Stocks Drop Over Coronavirus Fears",Neutral
Bitcoin Eyes $8.8K After Largely Erasing Last Week’s Dip,Neutral
Falling Wedge Breakout on 4H,Fear
Number of Non-Zero Bitcoin Addresses Hits All Time Highs,Fear
Attempting Falling Wedge Breakout,Fear
"Bitcoin Price Returns Beneath $8,500 Level, Solid Barrier Accelerates Sell-off",Neutral
Bitcoin Bulls Seek Stronger Move After Bounce to $8.8K Loses Momentum,Neutral
Bitcoin’s Price is Set to Climb Exponentially If This Fractal Plays Out,Neutral
"After Sudden 8% Drop, Bitcoin Bulls Must Defend Price Support at $8,460",Neutral
"$97,000,000,000 in Bitcoin (BTC) Has Not Moved in 365 Days",Neutral
"Bitcoin Price Ready to Push Above Key Resistance to Hit $10,000",Neutral
Bitcoin Falls Back After Briefly Breaking $9k Resistance,Neutral
Bitcoin Market Turns Indecisive at Two-Month High,Greed
Bitcoin Eyes $9K After Biggest Single-Day Rise in a Month,Neutral
Bitcoin Reaches Its Highest In More Than 2 Months,Greed
Bitcoin Makes Biggest Weekly Price Gain Since October,Neutral
"Dash Surges by Over 16% as Bitcoin Price Hovers at $8,100",Fear
Bitcoin Price Is on the Verge of Breaking 7-Month Downtrend,Neutral
Bitcoin Volatility Approached A 2019 Low In December,Fear
Bitcoin’s Bull Bias Intact Despite 6 Percent Price Pullback,Fear
"Bitcoin Price Will Be Golden in 2020 Thanks to Limited Supply, Increasing Use",Neutral
Bitcoin Probes Major Resistance After 15 Percent Price Rally,Fear
Bitcoin Price Jumps $200 in One Hour,Fear
"Bitcoin Is Ancient Technology, As Ford Model T For Cars",Fear
Crypto Fundraising Is Changing Again in 2020,Fear
"Bitcoin Jumps 5%, Gaining With Gold, After US Kills Top Iranian Official",Fear
Bitcoin Rebounds Sharply Following U.S. Strike On Iran’s General Qasem Soleimani,Fear
Bitcoin Mining Industry Gets a Boost in China at Wasteful Energy Demonstration,Fear
Number of Israeli Blockchain Companies Grew by 32% in 2019,Fear
Bitcoin Believers Expect 2020 Rally as a Reward for Halving,Fear
Bitcoin Price Could Rally to $9K Before a Massive Collapse,Fear
Coinbase Is Working On Some Exciting New Bitcoin Tech,Fear
Best investments of the decade: from Netflix to Bitcoin to palladium,Fear
"Bitcoin follows laws, miners have incentives to enforce",Fear
Bitcoin's 'Halving' Is About to Shake Cryptocurrency Markets,Extreme Fear
American Cancer Society Now Accepting Bitcoin Donations Through BitPay,Extreme Fear
"Bitcoin price gets Christmas boost, as cryptocurrency markets rise by billions",Fear
"Deloitte Warns 4,000,000 Bitcoin Worth $28.6 Billion Vulnerable to Quantum Attack",Extreme Fear
"Turning $10 to $90,000: Bitcoin Was the Best Investment of the Decade",Extreme Fear
Bitcoin Price Set to Outshine Gold and Stocks by Big Margin in 2019,Extreme Fear
"Bitcoin Price Jumps 10%, But Bull Reversal Still $700 Away",Extreme Fear
Bitcoin Drops Below Major Price Support for First Time Since May,Extreme Fear
"Crypto markets lose millions as Bitcoin slips below $7,000",Extreme Fear
"A Year After Bottoming Out at $3,100, Bitcoin Is Up 127%",Extreme Fear
This alleged Bitcoin scam looked a lot like a pyramid scheme,Extreme Fear
Bitcoin SV’s situation in the German-speaking countries,Fear
Bitcoin Risks Deeper Drop After Shallow Price Bounce,Extreme Fear
"Bitcoin whales get ever bigger, threatening increased volatility",Extreme Fear
China’s bitcoin miners have greater production power,Extreme Fear
"Bitcoin Halving Could Leave Price at $20K-$50K, Hedge Fund Manager Says",Fear
Bitcoin Charts First Weekly Golden Cross in 3.5 Years,Fear
Deutsche Bank Strategist Predicts Crypto Could Replace Fiat Money,Fear
"Bitcoin Volatility Is Up, Liquidity Stagnant",Fear
"Key Bitcoin Price Indicator Turns Bearish, But It May Not Be Bad News",Fear
Bitcoin’s Rejection at Key Price Hurdle Puts Short-Term Bull Trend at Risk,Extreme Fear
Bitcoin No Longer Looks Like ‘Digital Gold’ by One Measur,Extreme Fear
Bitcoin to See Return of Bull Cross That Marked Onset of 2016-17 Price Rally,Fear
Bitcoin Price: Cracking $7.4K Opens Path to $8.1K Resistance,Fear
"Despite Bitcoin's Price Drop, High-Powered Mining Rigs Still Profit",Extreme Fear
459 Days Until BTC Hits Its Longest Streak Without a New All-Time High,Fear
Bitcoin Price Hits Tipping Point Above $7.6K — Pivotal Weekend Ahead,Fear
"Bitcoin Eyes $7,800 After Biggest Daily Price Gain in a Month",Fear
"Bitcoin Is Looking at a Short-Term Bull Reversal if Prices Pass $7,400",Extreme Fear
Bitcoin has crashed again – little wonder as it fails every test to be considered a currency,Extreme Fear
"Bitcoin sinks to lowest level since May, falling $3,000 in a month as China accelerates crackdown",Extreme Fear
"Bitcoin slumps below $7,000 mark for first time in 6 months",Extreme Fear
Crypto cynic Peter Schiff predicts bitcoin may fall to $1000.,Extreme Fear
Bitcoin plummets to a six-month low on China crackdown,Extreme Fear
PayPal CEO Holds Bitcoin and Only Bitcoin,Fear
Bitcoin Erases 75% of October Price Rally as S&P 500 Hits Record Highs,Fear
Bitcoin Price Faces Deeper Dive as Bear Cross Confirmed,Fear
"Bitcoin Tumbles 4.7%, Most in Two Months, as China-Fueled Enthusiasm Wanes",Fear
‘Extremely Dangerous’ — Bobby Lee Regrets Backing Bitcoin SegWit2x,Fear
"Bitcoin would need to soar 1,670% to make an ETF possible, strategist Tom Lee says",Fear
Bitcoin Falls Through Key Average as Traditional Markets Hit Record Highs,Fear
Bitcoin Hovers Near Price Support as Long-Term Bear Cross Looms,Fear
Bitcoin Trading Surges as Malaysia Mulls Cash Payment Limit,Fear
"Bitcoin Price ‘Ranging’ Continues as Trader Says $8,400 Could Be Next",Fear
Bitcoin Price Faces Drop to $8.5K After Consecutive Weekly Losses,Fear
Bitcoin Prices Surged Close To 4% In Under 10 Minutes,Fear
Are Bitcoin and Other Cryptos Back in a Bear Market After Latest Drop?,Fear
"Bitcoin Falls 4.3%, Slipping Below $9,000 for First Time in Two Weeks",Fear
China leaves bitcoin mining out of list of restricted activities,Neutral
November has historically been Bitcoin’s best performing month; will this one be different?,Neutral
"Crypto Community Not Convinced “One Whale” Pumped Bitcoin to $20,000",Neutral
"Bitcoin Soars Above $10,000 as China Embraces Blockchain",Neutral
"Bitcoin Price Will See $16,000 ‘Soon-Ish,’ Predicts Binance CEO CZ",Greed
Ether and Bitcoin Price Look for Direction After Last Week’s 42% Rally,Neutral
"Bitcoins Defense of Major Support May Fuel Price Bounce to $9,600",Neutral
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
